Datum	Dagdeel	Naam	Type	Locatie	Maps link	Starttijd	Beschrijving	Link label	Link url	Locatie labels	Locatie links
22 Jan	Ochtendprogramma	Aankomst + Bibi Sucos	logistics			06:00	We landen om 06:00 in Rio (GIG). De chauffeur staat met het busje klaar en brengt ons naar het hotel om de spullen te droppen. Daarna ontbijten we bij Bibi Sucos (verse juice + acai) en pakken we vanaf daar de Uber naar de favela tour.			Bibi Sucos	https://maps.app.goo.gl/dqHWzSREB8Fz5aDB7
22 Jan	Lunch	Aprazível	food			14:30	Na de favela tour pakken we direct de Uber naar Aprazível. Lunchen met uitzicht. Daarna terug naar het hotel om op te frissen (eventueel een powernap) en ons klaar te maken voor de avond.			Aprazível	https://maps.app.goo.gl/EUzwgGZqWhkyTHt6A
22 Jan	Avondprogramma — Botafogo	Chanchada Bar + Bar Bukowski + DROPS VERAO 26 + BLOCO	nightlife	Botafogo		19:30	Vanavond maken we kennis met Botafogo: bars op elke hoek, muziek op straat en altijd wel een plek die nog open is. We eten bij Chanchada Bar, informele walk-in tent met uitstekend eten. Naast Chanchada zit Bar Bukowski: perfecte plek om in te drinken of te blijven als het daar losgaat. Later op de avond kunnen eventueel naar een feestje in Calma Bar (de DJ wilde heel graag op Club Continental draaien, dus Gado Gado fixt lijst) (22:00–01:30). Als dat nog niet genoeg is: vanaf 00:00 is er een Bloco in Marina da Glória genaamd Glory Ball. Gaat door tot 08:00 ’s ochtends! Morgen starten we pas om 11:00, dus we zitten ruim. Vannacht al prima uurtjes gepakt in het vliegtuig...			Chanchada Bar | Bar Bukowski | Calma Bar | Marina da Glória Bloco	https://maps.app.goo.gl/ebcdHPtmB1iW166Z8 | https://maps.app.goo.gl/mZD2NVAqu3H9GjZ76 | https://maps.app.goo.gl/VL4HJLYUnuJ44gmJ6 | https://maps.app.goo.gl/YbR8jgUELmNk9A8y7
23 Jan	Lunch	CT Boucherie	food			14:30	Na Cristo Redentor lunchen we bij CT Boucherie. Super vleesgerechten met onbeperkt bijgerechten. Goede bodem leggen, want vanavond gaan we niet uiteten maar keihard pilsen.			CT Boucherie	https://maps.app.goo.gl/KC3Ydj34tasjKvab7
24 Jan	Diner	Diner (TBD)	food			18:00	Placeholder: jappie is bezig met een reservering.  	
28 Jan	Vrije dag opties	Lopes Mendes	spot	Ilha Grande	https://maps.app.goo.gl/7oFSFkhtQLB86tDN8			Strandoptie op vrije dag.		
28 Jan	Vrije dag opties	Pico do Papagaio	spot	Ilha Grande	https://maps.app.goo.gl/sVMAAGmo67PnMjX28			Hike-optie op vrije dag.		
28 Jan	Vrije dag opties	Cachoeira da Feiticeira	spot	Ilha Grande	https://maps.app.goo.gl/4maU9333YgcaYEP7A			Waterval-optie op vrije dag.		
30 Jan	Diner	Diner (TBD)	food			19:30	Placeholder: jappie is bezig met een reservering. (doe lekker fout @jasper, we zijn ten slotte in het Saint Tropez van Zuid-Amerika) 			
31 Jan	Dagoptie	Buggy: surfen / paragliden	spot	Tucuns	https://maps.app.goo.gl/NYuzW83GTCyuZMe89			Buggy- en outdoor-optie.		
31 Jan	Diner	Diner (TBD)	food			19:30	Placeholder: jappie is bezig met een reservering.  			
